tile_id,split,nucleus,clear_cell_boundary,compact_cell_boundary,stroma,total
p2_tile_01,train,19,19,0,5,43
p2_tile_02,train,17,15,2,5,39
p2_tile_03,train,25,25,0,4,54
p2_tile_04,train,18,14,0,6,38
p2_tile_05,val,22,21,0,6,49
p2_tile_06,train,17,17,0,4,38
p2_tile_07,train,21,19,2,5,47
p2_tile_08,train,17,17,0,5,39
p2_tile_09,train,24,17,0,4,45
p2_tile_10,val,20,20,0,6,46
p2_tile_11,train,36,19,2,5,62
p2_tile_12,train,54,25,24,3,106
p2_tile_13,train,35,31,4,4,74
p2_tile_14,train,37,26,9,4,76
p2_tile_15,val,24,18,6,6,54
p2_tile_16,train,37,20,17,3,77
p2_tile_17,train,20,17,2,4,43
p2_tile_18,train,24,15,8,5,52
p2_tile_19,train,23,22,1,6,52
p2_tile_20,val,20,19,1,3,43
